t, sec;f, MHz;A (relative to 0,682839490144911 [W] )
0;65,0174408053858;1
0,001;65,1789021610722;0,99747753439037
0,002;65,3403635167586;0,994967485288938
0,003;65,501824872445;0,992469863316039
0,004;65,6632862281314;0,989984095640032
0,005;65,8247475838178;0,987510767491091
0,006;65,9862089395042;0,985049305770756
0,007;66,1476702951906;0,98259972070596
0,008;66,309131650877;0,980162019732361
0,009;66,4705930065634;0,977736207529978
0,01;66,6320543622499;0,975321709768824
0,011;66,7935157179363;0,972919118402959
0,012;66,9549770736227;0,970527855979237
0,013;67,1164384293091;0,968147932430237
0,014;67,2778997849955;0,965779643542693
0,015;67,4393611406819;0,963422416684431
0,016;67,6008224963683;0,961076256062888
0,017;67,7622838520547;0,958741171509258
0,018;67,9237452077411;0,956417310523763
0,019;68,0852065634275;0,954104250829635
0,02;68,2466679191139;0,951802137090949
0,021;68,4081292748003;0,949510546453135
0,022;68,5695906304868;0,947230061927733
0,023;68,7310519861732;0,944959819275175
0,024;68,8925133418596;0,942700409957732
0,025;69,053974697546;0,940451250539716
0,026;69,2154360532324;0,938212645783231
0,027;69,3768974089188;0,935984309845442
0,028;69,5383587646052;0,933766246739779
0,029;69,6998201202916;0,931558170198965
0,03;69,861281475978;0,929360382573133
0,031;70,0227428316644;0,927172594789231
0,032;70,1842041873508;0,924994813463866
0,033;70,3391991822615;0,92291372705966
0,034;70,4199298601047;0,921833361114409
0,035;70,5006605379479;0,92075527869225
0,036;70,5813912157911;0,919679632662669
0,037;70,6621218936343;0,918606568036419
0,038;70,7428525714775;0,917535936171879
0,039;70,8235832493207;0,916467740536932
0,04;70,9043139271639;0,915401981949556
0,041;70,9850446050071;0,914338367278143
0,042;71,0657752828503;0,913277485196285
0,043;71,1465059606935;0,91221874593741
0,044;71,2272366385367;0,911162449551997
0,045;71,3079673163799;0,910108591614733
0,046;71,3886979942231;0,909056881356205
0,047;71,4694286720663;0,908007908038544
0,048;71,5501593499095;0,906960934177866
0,049;71,6308900277528;0,905916407216122
0,05;71,711620705596;0,90487417554078
0,051;71,7923513834392;0,90383438979955
0,052;71,8730820612824;0,902796756266172
0,053;71,9538127391256;0,901761570270703
0,054;72,0345434169688;0,900728535379878
0,055;72,115274094812;0,899697952244688
0,056;72,1960047726552;0,898669521727631
0,057;72,2767354504984;0,897643542000707
0,058;72,3574661283416;0,896619716423983
0,059;72,4381968061848;0,895598050879279
0,06;72,518927484028;0,894578835954853
0,061;72,5996581618712;0,893561782595336
0,062;72,6803888397144;0,892546886359401
0,063;72,7611195175576;0,89153429815728
0,064;72,8418501954008;0,89052387115805
0,065;72,922580873244;0,889515751190988
0,066;73,0033115510872;0,888509793944201
0,067;73,0840422289304;0,887506002708271
0,068;73,1647729067736;0,886504520852803
0,069;73,2455035846168;0,885505201424909
0,07;73,32623426246;0,884507902458885
0,071;73,4069649403032;0,883512915196299
0,072;73,4876956181464;0,882520097695158
0,073;73,5684262959897;0,881529297707539
0,074;73,6491569738328;0,880540811773418
0,075;73,7298876516761;0,87955449785427
